Date,Open,High,Low,Close,Adj Close,Volume
8/14/2015,223.179001,227.895004,218.177002,226.369995,202.76506,9515041
8/17/2015,227.227997,236.755005,223.130997,235.087997,210.573975,8947333
8/18/2015,236.373993,242.852997,234.945007,240.423004,215.352676,10291473
8/19/2015,238.279007,241.376007,235.087997,237.994003,213.176971,4517602
8/20/2015,235.992996,236.660004,229.132996,230.134003,206.136581,4855837
8/21/2015,227.227997,227.227997,220.559006,226.037003,202.466797,5507337
8/24/2015,218.462997,218.462997,193.072006,196.358994,175.883484,12292472
8/25/2015,200.074997,207.600998,190.643005,203.362,182.15625,14911709
8/26/2015,202.932999,209.315994,199.074005,205.457993,184.033676,8750249
8/27/2015,209.602005,218.938995,204.934006,215.699997,193.207687,14932908
8/28/2015,221.606995,223.511993,212.651001,218.128998,195.383423,9852930
8/31/2015,214.651993,217.891006,213.080002,214.746994,192.354065,6069187
9/1/2015,211.507996,215.557007,202.981003,206.076996,184.58815,6796473
9/2/2015,208.554001,215.223007,200.360992,209.126007,187.319199,9351765
9/3/2015,212.841003,221.701996,211.602997,218.891006,196.065964,7434373
9/4/2015,218.080994,218.080994,206.744003,208.554001,186.806854,7588508
9/7/2015,210.792999,213.412994,204.981003,205.647995,184.203857,5178636
9/8/2015,208.268005,221.988007,207.029999,217.938995,195.213226,8645536
9/9/2015,224.845993,230.371994,221.367996,228.179993,204.386322,9261748
9/10/2015,225.179001,231.514999,220.654007,228.847,204.98378,7612145
9/11/2015,231.848007,231.990997,219.987,221.940002,198.797012,6202695
9/14/2015,222.940002,231.753006,222.940002,230.371994,206.349731,7514289
9/15/2015,230.324005,232.324997,217.699997,217.796005,195.085129,9602085
9/16/2015,221.035004,222.320999,216.365997,219.606003,196.706375,7548367
9/18/2015,222.940002,224.274002,216.651993,217.319,194.657867,8008200
9/21/2015,215.604004,218.462997,212.556,215.746994,193.249786,5641030
9/22/2015,217.223999,218.080994,208.839996,209.697006,187.830643,5351406
9/23/2015,204.266998,213.460999,203.886002,210.554993,188.599182,7551488
9/24/2015,209.602005,210.317001,204.171005,204.981003,183.606415,5913928
9/28/2015,207.410995,208.125,198.645996,199.360001,178.571564,6014892
9/29/2015,195.311005,196.931,190.261993,191.880997,171.872437,12685201
9/30/2015,197.121002,204.266998,195.787003,202.552002,181.43071,9752831
10/1/2015,204.837997,205.315002,200.313004,202.218002,181.131546,5114699
10/5/2015,204.742996,215.128006,204.076004,214.365997,192.012787,8524225
10/6/2015,216.938004,218.177002,212.602997,216.748001,194.146408,7724927
10/7/2015,214.365997,226.464996,213.031998,225.608002,202.08252,10326577
10/8/2015,226.656006,231.229004,225.035995,229.419006,205.496124,9357782
10/9/2015,230.942993,241.042007,230.753006,239.231995,214.285873,11041924
10/12/2015,243.042999,249.569,237.994003,238.994003,214.072678,11094435
10/13/2015,236.279007,236.897995,231.753006,233.419998,209.079926,6110077
10/14/2015,232.468002,241.042007,232.039001,236.612,211.939056,6602225
10/15/2015,237.373993,245.044006,236.326004,243.186005,217.827576,7355704
10/16/2015,243.804993,244.567001,236.660004,241.042007,215.907135,5590827
10/19/2015,241.138,242.089996,235.087997,236.660004,211.982071,4700520
10/20/2015,235.373993,237.136002,228.656998,229.419006,205.496124,5508877
10/21/2015,230.276001,234.802002,226.990005,232.848999,208.568466,8441160
10/23/2015,235.707001,239.709,232.610992,234.373001,209.933533,5254128
10/26/2015,235.658997,239.660995,234.610992,237.850998,213.048874,4395791
10/27/2015,237.089005,238.470001,232.514999,234.326004,209.891434,3572503
10/28/2015,232.944,236.755005,232.468002,235.468994,210.915268,3607475
10/29/2015,234.658997,239.565994,233.134995,235.897995,211.299515,4816684
10/30/2015,236.660004,242.757004,233.563004,234.945007,210.445908,6479503
11/2/2015,234.850006,234.945007,225.132004,227.608994,203.874847,5153151
11/3/2015,230.276001,231.514999,223.798004,224.559998,201.143784,4715646
11/4/2015,227.847,228.656998,222.796997,224.274002,200.887634,5102509
11/5/2015,224.845993,224.845993,213.699005,214.746994,192.354065,9238270
11/6/2015,208.554001,211.365005,204.934006,209.839996,187.95874,10397801
11/9/2015,204.837997,213.794006,202.598999,211.746002,189.665985,6583811
11/10/2015,210.363998,211.746002,206.886993,207.744003,186.081314,4761452
11/13/2015,208.363998,213.031998,206.363007,212.126999,190.007278,4646588
11/16/2015,212.317001,220.940002,209.792999,219.701004,196.791489,7266779
11/17/2015,220.940002,224.608002,219.987,223.464005,200.162109,5500940
11/18/2015,223.035995,223.893005,214.556,215.175995,192.738327,5545717
11/19/2015,216.748001,218.843994,214.936996,217.938995,195.213226,3842740
11/20/2015,217.319,221.748993,217.319,219.128998,196.279129,4050862
11/23/2015,219.938995,219.938995,212.556,213.841995,191.543442,4305888
11/24/2015,212.794006,215.699997,211.983994,213.746002,191.457458,4386325
11/26/2015,214.841995,219.128998,213.604004,217.128998,194.487671,4815678
11/27/2015,217.128998,223.893005,216.794998,220.320007,197.345932,5660627
11/30/2015,221.416,223.320999,217.985992,218.177002,195.426407,4782849
12/1/2015,219.891998,227.227997,219.414993,226.322998,202.722977,6913345
12/2/2015,228.608994,234.278,226.847,232.324997,208.099091,9297832
12/3/2015,228.800003,231.990997,225.608002,228.800003,204.941696,7460474
12/4/2015,226.798996,232.705994,225.893997,228.895004,205.026779,5812852
12/7/2015,233.229996,235.802002,230.990997,232.039001,207.842926,5181312
12/8/2015,230.610001,231.563004,222.464005,223.654999,200.33316,4771435
12/9/2015,222.940002,224.703003,214.270004,216.128006,193.59108,4962204
12/10/2015,216.509003,223.654999,215.794998,221.988007,198.840012,5043195
12/11/2015,223.988007,232.371994,223.988007,229.514008,205.581223,12513883
12/14/2015,227.703995,237.136002,227.179993,233.419998,209.079926,11875759
12/15/2015,235.326004,235.563995,229.848007,232.800995,208.525452,5477706
12/16/2015,234.897003,236.850006,230.658005,233.134995,208.824631,6045633
12/17/2015,235.231003,245.757996,234.421005,244.949005,219.406708,12713159
12/18/2015,244.376999,245.757996,241.994995,243.567001,218.168839,7288697
12/21/2015,243.423996,249.044998,242.613998,246.235001,220.55864,6502570
12/22/2015,246.759003,249.425995,244.425003,245.233994,219.661987,4769687
12/23/2015,249.854996,253.809006,249.854996,251.951004,225.678589,8085026
12/24/2015,253.427994,253.427994,248.283005,250.903,224.739883,4034479
12/28/2015,251.475006,251.807999,241.042007,242.089996,216.84584,5581413
12/29/2015,243.710007,244.996002,241.376007,243.233994,217.870544,3989059
12/30/2015,244.281998,249.425995,243.042999,246.473007,220.771805,7150693
12/31/2015,247.712006,248.473999,244.806,247.520996,221.710526,4667281
1/1/2016,246.759003,247.615997,241.423004,245.233994,219.661987,3307909
1/4/2016,242.947998,250.759995,241.138,244.757996,219.235641,7327733
1/5/2016,245.376999,263.335999,245.376999,261.335999,234.084946,15753483
1/6/2016,259.907013,261.621002,253.427994,256.048004,229.348373,7824538
1/7/2016,250.570007,250.856003,236.468994,238.089005,213.262054,9975180
1/8/2016,240.089996,244.186005,237.279007,241.613998,216.419495,6611968
1/11/2016,235.326004,241.376007,232.705994,239.755997,214.755219,6387245
1/12/2016,241.089996,243.233994,231.658005,234.134995,209.720367,5694492
1/13/2016,236.755005,239.899002,225.798996,234.945007,210.445908,7853668
1/14/2016,223.893005,231.085999,220.559006,227.466003,203.74678,9325559
1/15/2016,231.039001,231.514999,217.319,218.843994,196.023865,6288878
1/18/2016,218.938995,232.468002,214.556,224.751007,201.314896,8834992
1/19/2016,226.322998,229.561996,220.320007,226.751007,203.106369,6616835
1/20/2016,221.796997,222.940002,215.794998,221.035004,197.986389,5759001
1/21/2016,223.606995,228.037994,220.320007,224.464996,201.058701,6555133
1/22/2016,227.037003,238.945999,226.417999,236.087997,211.469711,6833746
1/25/2016,237.231003,244.281998,237.041,242.852997,217.529282,5853184
1/27/2016,242.947998,247.615997,241.423004,245.425003,219.833099,6545003
1/28/2016,244.852997,246.235001,240.470993,242.186005,216.931839,6315180
1/29/2016,242.613998,246.567993,235.755005,237.897995,213.090973,7082718
2/1/2016,237.136002,242.899994,234.850006,237.516998,212.749695,4640019
2/2/2016,238.421997,239.136993,219.225006,220.511002,197.517014,8804608
2/3/2016,217.128998,222.845001,210.983994,213.412994,191.159164,8178043
2/4/2016,213.794006,217.796005,208.649002,215.270996,192.82341,12290303
